# id	left	top	right	bottom	texture_id
[SPRITES]

#Dirt:
411000	354	171	369	186	20
412000	372	171	387	186	20
413000	390	171	405	186	20

#Cloud:
421000	390	117	405	132	20
422000	408	117	423	132	20
423000	426	117	441	132	20

#ColorBox:
#-->Red: 431
431001	70	282	85	297	21
431002	87	282	102	297	21
431003	104	282	119	297	21

431004	70	299 	85	314	21
431005	87	299	102	314	21
431006	104	299	119	314	21

431007	70	316	85	331	21
431008	87	316	102	331	21
431009	104	316	119	331	21

#-->Blue: 432
432001	2	282	17	297	21
432002	19	282	34	297	21
432003	36	282	51	297	21

432004	2	299 	17	314	21
432005	19	299	34	314	21
432006	36	299	51	314	21

432007	2	316	17	331	21
432008	19	316	34	331	21
432009	36	316	51	331	21

#-->Green: 433
433001	70	333	85	348	21
433002	87	333	102	348	21
433003	104	333	119	348	21

433004	70	350 	85	365	21
433005	87	350	102	365	21
433006	104	350	119	365	21

433007	70	367	85	382	21
433008	87	367	102	382	21
433009	104	367	119	382	21

#-->White: 434
434001	2	333	17	348	21
434002	19	333	34	348	21
434003	36	333	51	348	21

434004	2	350 	17	365	21
434005	19	350	34	365	21
434006	36	350	51	365	21

434007	2	367	17	382	21
434008	19	367	34	382	21
434009	36	367	51	382	21

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
