# list of object assets to load in this scene
[ASSETS]
mario.txt
brick.txt
coin.txt
goomba.txt
platform.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: See OBJECT_TYPE constants in AssetIDs.h


#Color box
40	10	195	8	8	3	411000	412000	413000
43	100	155	16	16	5	3	432001	432002	432003	432004	432005	432006	432007	432008	432009

44	150	115	16	16	12	3	440001	440002	440003	440004	440005	440006	440007	440008	440009

45	200	75	16	16	12	3	450001	450002	450003	450004	450005	450006	450007	450008	450009

#MARIO
10	20	10

#BRICKS & HIDED-STUFF
#Unseen-Brick...
30	5	180
30	5	160
30	5	140
30	5	120
30	5	100


#QuestBrick...
#33	192	128
#33	208	128

#33	240	80
#33	256	80

#GlassBrick...

30	180	140
31	160	140
32	140	140
33	120	140

 
#Goomba (All - Enemies)
#11	300	10
#12	280	10
#13	250	10
#14	230	10
#15	210	150
#16	210	150
#17	180	150

#Platform
40	10	192	16	16	99	411000	412000	413000

#COIN (Disappear-able)
#20	180	150
#21	120	140
#22	120	140

23	130	100

#Portal 
